user_account,balance_ether,balance_value,total_transactions,sent,received,n_contracts_sent,n_contracts_received,classification
0x81247545853bdbf75c052977d89a8debc567db52,0.000970512,0.38,5,0,1,1,0,0
0x5d24e88c8ccc9aae2c639a2e7d4015734bdc6759,0.000315,0.12,17,0,1,1,0,0
0x4c63600d9d3d18ee5c155f6c9385605ce0255720,0.01134316,4.44,4161,0,50,3,0,0
0x8d6728faa282ba5edacf22d06393a2d0dda0e0f0,0.0,0.0,4,0,1,0,0,0
0x78a087fcf440315b843632cfd6fde6e5adccc2c2,0.1402543029092083,54.85,45613,39,396,51,0,0
0x3bcabaf7d1c0aa65d94053137832998db10e183e,0.0023042564432499,0.9,122,1,6,6,0,0
0xb50f22bbfa23fbb730e601f1a866495bff588ca3,0.000236387,0.09,105004,0,1735,1735,0,0
0x16904ad3b8371476a5704f892ba42ee7bcb8d61f,0.0003646794114513,0.14,4306,0,61,61,0,0
0x51ee52fc8dcb64cb580a50ee32a8ab4afc1dc30a,0.0,0.0,457,0,7,5,0,0
0xfdf1946a9b40245224488f1a36f4a9ed4844a523,5.395328599596821,2110.01,317384,1,8898,8898,0,0
0x61e7e7665296749678a441de39bbd099cce72fea,0.0028428004231639,1.11,1014,0,10,9,0,0
0xb94f0026c34786d4246c9e02fb6ec29cf65e02cc,0.0001497438706517,0.06,45280,1,280,279,0,0
0x03d509fd2dd159cff15dd9ed45878158ac6847dc,0.0707053006500296,27.65,8084,0,136,131,0,0
0xf1c752f3243d97eb13449cd8ae36743bf14a1efd,0.000637739,0.25,7,0,1,1,0,0
0x4b729cf402cfcffd057e254924b32241aedc1795,1436.1655809244994,561655.64,203921,89,2797,0,0,1
0xe754962673ee42c3ac0bac2bbef0863f71d7ca2e,0.0,0.0,4,0,1,0,0,0
0x9070002eaa91e56842b0d8e4d06e575cb6a59584,0.0,0.0,4,0,1,0,0,0
0x1f487a4435f3b730d742aa4b6ef8c9e0a6b9a027,1.0615124152,415.14,298850,0,4356,4356,0,0
0x698103f9e5e97fd3f069cad52762363e9fd80a4b,590.3807470479002,230886.1,141029,132,5452,5169,0,0
0xeea5b82b61424df8020f5fedd81767f2d0d25bfb,64.66236828630441,25288.16,113175,0,1246,0,0,1
0x99d9a646e9c1331336166846acc7e073f02430a3,0.0,0.0,9,0,1,1,0,0
0xaa03c79815a91d1bb2de44156342b8726386f481,0.01979,7.74,247,0,1,0,0,0
0xa79f3762313ffaf6928f2cd1251b6f3f7bafb515,0.0,0.0,16440,0,394,394,0,0
0x59f9342303103b855d299853135072924f4d245c,0.0005510336,0.22,3,0,1,1,0,0
0xe55fe27ba01aae19ba5468034ff5b98547eace65,7.405209932608001e-05,0.03,48054,0,754,754,0,0
0x97bdd0e8d457484b15a1b798b674d306811447c8,0.02642812388228,10.34,1424,0,6,6,0,0
0x46705dfff24256421a05d056c29e81bdc09723b8,215.892498276946,84431.24,1045315,2,4883,4882,0,1
0x64a009a391d431ef93465f65b2af11bfcd4c7c15,0.000639049275563,0.25,34690,9,758,0,0,0
0x941a8e377ca1272132fb6f4773b3bf531b0ef64a,0.0,0.0,14,0,1,0,0,0
0x4d8a4aa1f304f9632cf3877473445d85c577fe5d,6.56100925,2565.88,114830,1,4897,4896,0,0
0x167a9333bf582556f35bd4d16a7e80e191aa6476,33923.98920046325,13266993.7,618300,4185,2113,201,0,1
0x5c985e89dde482efe97ea9f1950ad149eb73829b,310.0709897429,121262.56,162589,2,956,955,0,1
0x1062a747393198f70f71ec65a582423dba7e5ab3,161.64899098718516,63217.69,1137840,79,9816,9799,0,1
0x933c297ae031cc0e4e62117c89b26d80f1dcea1c,1.313674308,513.75,30337,0,318,318,0,0
0x9a3a349ff48aa7821247e2acbfd7d5a6a8b130ba,5.39090692578232,2108.28,217571,37,5738,5714,0,0
