Acuracy,Precision,Recall,F1-score,F-beta,MCC,TP,TN,ROC Curve
0.9423796370756268,0.834841628959276,0.5898337595907929,0.6912701386286999,0.62661323189784,0.6726642657251213,1845.0,25108.0,0.7877524311635117
0.8599349673088353,0.4251108836574548,0.7966751918158568,0.5543937708565072,0.678132143245891,0.5136653117341484,2492.0,22103.0,0.8321891249779241
0.8915422537673507,0.5027765912003417,0.7525575447570333,0.6028169014084506,0.6845411189949983,0.5576955148850541,2354.0,23145.0,0.8305833301455641
0.882067060592287,0.47579529737206083,0.7698209718670077,0.588105995848089,0.6851419791725942,0.5443922985996452,2408.0,22820.0,0.8328357401242156
0.9384636900807664,0.8307543520309478,0.5492327365728901,0.6612779060816013,0.5891632373113855,0.6452953379846482,1718.0,25123.0,0.7677463490503912
0.8554246355022551,0.4213895394223263,0.8628516624040921,0.5662435749501731,0.7133794999207063,0.5370518846269143,2699.0,21767.0,0.85868214180543
0.8667529107373868,0.4426917267997986,0.8433503836317136,0.5806096621547265,0.7140923609983219,0.5479045198654681,2638.0,22152.0,0.8564885235788999
0.8971364637600084,0.5197788175244576,0.7813299232736572,0.6242656449553001,0.7098873010340419,0.5832829869498459,2444.0,23215.0,0.8463435232510869
0.9582182441173386,0.9059218815623687,0.6895780051150895,0.7830822290796877,0.7241657154367824,0.7691073498049191,2157.0,25249.0,0.8403921902464703
0.9038844795636516,0.5367461702540236,0.8849104859335039,0.668195534097767,0.7832927726526686,0.6422499168177063,2768.0,23084.0,0.8955624545240872
0.9559106324953673,0.8505444986856928,0.7241048593350383,0.7822483163529614,0.7462932454695224,0.7609348564509035,2265.0,25075.0,0.8542402363648065
0.950701024439705,0.766935985083903,0.789002557544757,0.7778127954617082,0.7844882390336936,0.7501891741144299,2468.0,24723.0,0.8797798089808345
0.8978007761966365,0.9083665338645418,0.07289002557544758,0.1349511689849068,0.08932069262712529,0.240887774251972,228.0,25450.0,0.5359935543807831
0.759379042690815,0.2202682563338301,0.4725063938618926,0.30046757471030694,0.38445531162209967,0.1967313109086586,1478.0,20241.0,0.6335562236651354
0.7612321247508829,0.25876678399165687,0.6345907928388747,0.3676266320955644,0.4917504830798196,0.28980088711771523,1985.0,19787.0,0.7056870267731452
0.7537848326981574,0.2757277102910841,0.7691815856777494,0.4059389235701029,0.5664375176570299,0.35319382961196316,2406.0,19153.0,0.7605378740621307
0.8931505891402398,0.8333333333333334,0.02877237851662404,0.055624227441285534,0.03565768621236134,0.14281343796029775,90.0,25455.0,0.514032873983315
0.8518932904443901,0.32047958522359044,0.3161764705882353,0.3183134856775024,0.31702782408001023,0.23524613504673514,989.0,23376.0,0.6169270057569607
0.8084682353763855,0.3101163542340013,0.6134910485933504,0.4119793902962645,0.5131016042780748,0.33797730059634806,1919.0,21204.0,0.7229509182432068
0.6777735044229223,0.22482372084613994,0.795076726342711,0.35052854122621563,0.5274879104097735,0.29379348565385616,2487.0,16898.0,0.7292228918880359
0.8965071151358344,0.9375,0.05754475703324808,0.10843373493975902,0.07084382871536525,0.21813765096012527,180.0,25461.0,0.5285368349999593
0.8766476696618999,0.39327641408751335,0.23561381074168797,0.2946821271491403,0.2561518142638676,0.24087824350469897,737.0,24336.0,0.5954891571668632
0.7266179504213139,0.25354628559419984,0.7714194373401535,0.3816528272044286,0.5476871396795133,0.32623201927980283,2413.0,18369.0,0.746267956804572
0.6482990105241075,0.21055708677858515,0.8059462915601023,0.33388517316733995,0.5148049826424342,0.2751237516931734,2521.0,16021.0,0.7174433691538195
0.890633194643544,0.0,0.0,0.0,0.0,,0.0,25473.0,0.5
0.9007727002552358,0.8897849462365591,0.10581841432225064,0.18914285714285717,0.12845389630549522,0.2870508763733101,331.0,25432.0,0.5521044334791876
0.8196566553617006,0.2226775956284153,0.26054987212276215,0.24012964054213318,0.25197872866683163,0.13907935822860357,815.0,22628.0,0.5744314939854576
0.8195517639243383,0.22696749932849852,0.27014066496163686,0.24667931688804556,0.26024022174314754,0.14576607805270742,845.0,22595.0,0.578579145734067
0.9041292262508304,0.9488372093023256,0.13043478260869565,0.22934232715008432,0.15762633286972647,0.3323121983133001,408.0,25451.0,0.5647855615237959
0.8853186951505192,0.48602427363001105,0.8449488491048593,0.6170908241886528,0.7362116991643455,0.5847585479006521,2643.0,22678.0,0.8676124137959424
0.9228698297262333,0.6160040261701056,0.782608695652174,0.689383272317657,0.7424481378139027,0.652098298270352,2448.0,23947.0,0.8613510639568922
0.9213314219782525,0.6081813701330705,0.789002557544757,0.6868911772891734,0.7447193723596862,0.6498889032335001,2468.0,23883.0,0.8632917628143053
0.8986399076955351,0.9711934156378601,0.07544757033248081,0.14001779887273805,0.09251274010192082,0.2556189433070704,236.0,25466.0,0.5375863847815193
0.8958078388867522,0.5292259083728278,0.42838874680306904,0.4734982332155477,0.44536027652220156,0.4192576891229139,1340.0,24281.0,0.6907970507461739
0.8952484178874864,0.5144041903099084,0.7535166240409207,0.6114137483787289,0.6894231894231894,0.566830211659999,2357.0,23248.0,0.8330846183055465
0.89000384601937,0.49813972715998345,0.770460358056266,0.6050715541049461,0.6945244956772334,0.5620644332191067,2410.0,23045.0,0.8375718741563078
